Sample_Name,Sentrix_ID,Sentrix_Position,customer
A1S1,207592440054,R07C01,Zack
A1S2,207592440054,R08C01,Zack
A2S1,207565200060,R01C01,Vincent
A2S2,207565200060,R02C01,Vincent
A2S3,207510790151,R06C01,Vincent
A3S1,207565200060,R03C01,Yun
A3S2,207565200060,R04C01,Yun
A3S3,207510790151,R08C01,Yun
A1B1,207565200060,R05C01,Zack
A1B2,207565200060,R06C01,Zack
A2B1,207565200060,R07C01,Vincent
A2B2,207565200060,R08C01,Vincent
A2B3,207510790151,R05C01,Vincent
A3B1,207592440054,R02C01,Yun
A3B2,207592440054,R03C01,Yun
A3B3,207510790151,R07C01,Yun
